timestamp_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,pressure_pa,temperature_c,altitude_m
0.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11811.00,1.85,0.00
0.243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
0.385,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
0.527,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
0.668,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
0.812,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
0.954,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
1.096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
1.238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
1.380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
1.522,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
1.663,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
1.805,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
1.949,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
2.091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
2.233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
2.375,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
2.516,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
2.658,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
2.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
2.942,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
3.085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
3.227,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
3.369,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
3.511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
3.653,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
3.795,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
3.937,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
4.079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
4.222,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11811.00,1.85,0.00
4.364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
4.506,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
4.648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
4.790,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
4.932,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
