sample,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,pressure_pa,temperature_c,altitude_m
0,0.0647,-0.0325,1.2480,-6.2061,-0.2137,-1.0611,-31602.00,27.18,0.00
1,0.0552,-0.0271,1.2432,-8.4122,-1.8702,-0.7786,-31599.00,27.22,0.00
2,0.0686,-0.0405,1.2463,-7.4504,-0.9771,-0.5725,-31598.00,27.24,0.00
3,0.0620,-0.0422,1.2388,-7.6489,-1.3359,-0.7634,-31601.00,27.26,0.00
4,0.0605,-0.0254,1.2458,-6.4198,-0.3206,-1.1832,-31597.00,27.27,0.00
5,0.0637,-0.0229,1.2522,-8.6641,-2.1603,-0.5496,-31600.00,27.27,0.00
6,0.0647,-0.0454,1.2488,-6.5267,-0.2366,-1.2366,-31597.00,27.28,0.00
7,0.0583,-0.0266,1.2476,-7.3664,-0.7939,-0.9542,-31600.00,27.28,0.00
8,0.0596,-0.0332,1.2517,-7.1908,-0.8855,-1.1450,-31596.00,27.29,0.00
9,0.0598,-0.0283,1.2456,-7.5191,-1.2137,-1.1374,-31598.00,27.29,0.00
10,0.0562,-0.0256,1.2551,-6.8168,-0.4656,-1.0611,-31596.00,27.29,0.00
11,0.0525,-0.0154,1.2461,-7.9924,-1.3282,-0.7939,-31597.00,27.29,0.00
12,0.0596,-0.0288,1.2480,-7.7252,-1.3588,-0.8168,-31598.00,27.30,0.00
13,0.0544,-0.0232,1.2412,-7.3893,-0.8015,-0.8321,-31598.00,27.30,0.00
14,0.0605,-0.0308,1.2493,-8.5725,-1.7710,-0.4733,-31600.00,27.30,0.00
15,0.0654,-0.0315,1.2476,-7.5267,-0.9313,-0.8244,-31598.00,27.30,0.00
16,0.0532,-0.0271,1.2493,-7.8397,-1.2366,-0.5725,-31597.00,27.31,0.00
17,0.0642,-0.0288,1.2542,-8.3053,-1.6031,-0.5802,-31599.00,27.30,0.00
18,0.0630,-0.0312,1.2485,-7.5115,-1.0763,-0.8092,-31597.00,27.31,0.00
19,0.0586,-0.0288,1.2480,-8.0534,-1.1985,-0.4733,-31601.00,27.31,0.00
20,0.0581,-0.0378,1.2468,-8.0000,-1.4504,-0.7405,-31603.00,27.31,0.00
21,0.0596,-0.0298,1.2490,-7.5115,-1.0534,-0.7405,-31603.00,27.31,0.00
22,0.0588,-0.0291,1.2451,-7.9618,-1.3282,-0.8931,-31600.00,27.31,0.00
23,0.0601,-0.0244,1.2471,-7.9389,-1.2290,-0.6565,-31602.00,27.31,0.00
24,0.0613,-0.0317,1.2576,-7.3664,-0.9160,-0.8015,-31604.00,27.31,0.00
25,0.0535,-0.0317,1.2532,-7.7176,-1.1145,-0.8702,-31600.00,27.31,0.00
26,0.0564,-0.0320,1.2522,-8.0076,-1.4733,-0.8550,-31605.00,27.32,0.00
27,0.0549,-0.0229,1.2463,-7.3053,-0.9618,-0.8168,-31601.00,27.32,0.00
28,0.0552,-0.0237,1.2571,-8.1145,-1.3588,-0.7481,-31602.00,27.32,0.00
29,0.0459,-0.0295,1.2556,-7.2214,-0.5649,0.0229,-31602.00,27.32,0.00
30,0.0657,-0.0371,1.2537,-8.7634,-2.1298,-0.4198,-31604.00,27.32,0.00
31,0.0505,-0.0264,1.2461,-6.9542,-0.5954,-0.7710,-31602.00,27.32,0.00
32,0.0635,-0.0320,1.2498,-9.4962,-2.3588,-0.4885,-31603.00,27.32,0.00
33,0.0596,-0.0317,1.2449,-6.7252,-0.4733,-0.8550,-31603.00,27.32,0.00
34,0.0608,-0.0276,1.2563,-9.0229,-2.1450,-0.5420,-31604.00,27.32,0.00
35,0.0645,-0.0378,1.2502,-7.0840,-0.5954,-1.0000,-31602.00,27.33,0.00
36,0.0583,-0.0366,1.2478,-8.4885,-1.6947,-0.5878,-31604.00,27.33,0.00
37,0.0608,-0.0305,1.2466,-7.2519,-0.5954,-0.7863,-31605.00,27.32,0.00
38,0.0603,-0.0286,1.2437,-8.2901,-1.5038,-0.7023,-31605.00,27.32,0.00
39,0.0625,-0.0344,1.2478,-7.2977,-0.7939,-0.9924,-31602.00,27.32,0.00
40,0.0557,-0.0300,1.2520,-7.8244,-1.1527,-0.7405,-31602.00,27.32,0.00
41,0.0579,-0.0374,1.2476,-7.4198,-1.0763,-0.9160,-31603.00,27.33,0.00
42,0.0601,-0.0298,1.2539,-8.0229,-1.1221,-0.8397,-31605.00,27.32,0.00
43,0.0613,-0.0281,1.2522,-7.6565,-1.1527,-0.9389,-31606.00,27.32,0.00
44,0.0583,-0.0320,1.2498,-7.6412,-1.3817,-0.6794,-31604.00,27.32,0.00
45,0.0576,-0.0269,1.2451,-7.7863,-1.2748,-0.8092,-31604.00,27.32,0.00
46,0.0586,-0.0300,1.2498,-7.6641,-1.2901,-0.8626,-31605.00,27.33,0.00
47,0.0596,-0.0212,1.2510,-7.9084,-1.3130,-0.8473,-31604.00,27.32,0.00
48,0.0596,-0.0337,1.2522,-7.7176,-1.0382,-0.7099,-31609.00,27.32,0.00
49,0.0576,-0.0215,1.2468,-7.7099,-1.4198,-0.5573,-31606.00,27.32,0.00
50,0.0664,-0.0300,1.2510,-7.7099,-1.2137,-0.7863,-31604.00,27.32,0.00
51,0.0586,-0.0305,1.2463,-7.6183,-1.3817,-0.6565,-31603.00,27.32,0.00
52,0.0605,-0.0332,1.2556,-7.7328,-1.1527,-0.9618,-31604.00,27.32,0.00
53,0.0613,-0.0239,1.2488,-8.4885,-1.7405,-0.5420,-31600.00,27.32,0.00
54,0.0681,-0.0334,1.2510,-7.4809,-0.9542,-0.8931,-31605.00,27.32,0.00
55,0.0608,-0.0178,1.2476,-7.5725,-1.0534,-0.6489,-31604.00,27.32,0.00
56,0.0510,-0.0149,1.2568,-4.7328,0.9008,-0.1527,-31606.00,27.32,0.00
57,0.1633,-0.1560,1.3015,-13.8092,-3.4046,0.3511,-31601.00,27.32,0.00
58,0.0642,-0.0056,1.2527,0.0458,3.6870,-1.3664,-31603.00,27.32,0.00
59,0.0505,-0.0293,1.2480,-8.1145,-1.4656,-0.7557,-31603.00,27.32,0.00
60,0.0415,0.0081,1.2454,-8.1221,-1.4275,-0.7481,-31605.00,27.32,0.00
61,0.0938,-0.0928,1.2266,-5.8015,-0.0153,-1.1756,-31604.00,27.32,0.00
62,0.0293,0.0261,1.2498,-6.1908,-0.5725,-0.5344,-31604.00,27.32,0.00
63,0.0657,-0.0503,1.2415,-10.2748,-3.0992,-0.2519,-31601.00,27.32,0.00
64,0.0530,-0.0225,1.2500,-6.3206,0.0382,-1.0305,-31609.00,27.32,0.00
65,0.0566,-0.0339,1.2544,-6.9313,-0.8855,-1.1832,-31603.00,27.32,0.00
66,0.0471,-0.0110,1.2500,-9.0000,-2.0916,-0.4504,-31600.00,27.32,0.00
67,0.0674,-0.0486,1.2517,-7.5878,-1.3511,-0.7939,-31607.00,27.32,0.00
