sample,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,pressure_pa,temperature_c,altitude_m,lat,lon,speed_kts
0,-0.1326,-0.1609,1.2175,-7.5725,-1.3053,-0.5725,100104.00,28.15,102.16,0.000000,0.000000,0.0000
1,-0.1199,-0.1558,1.2209,-7.5954,-1.6336,-0.5802,100099.00,28.19,102.58,0.000000,0.000000,0.0000
2,-0.1362,-0.1555,1.2253,-7.6870,-1.2366,-0.4351,100098.00,28.21,102.66,0.000000,0.000000,0.0000
3,-0.1221,-0.1631,1.2246,-7.4504,-1.1298,-0.7176,100095.00,28.23,102.91,0.000000,0.000000,0.0000
4,-0.1309,-0.1597,1.2295,-7.7023,-0.9160,-0.5420,100101.00,28.24,102.41,0.000000,0.000000,0.0000
5,-0.1326,-0.1611,1.2280,-7.6412,-1.3740,-0.6718,100098.00,28.25,102.66,0.000000,0.000000,0.0000
6,-0.1335,-0.1526,1.2310,-7.7557,-1.0763,-0.5344,100099.00,28.25,102.58,0.000000,0.000000,0.0000
7,-0.1323,-0.1592,1.2283,-7.5344,-1.2672,-0.6031,100103.00,28.26,102.24,0.000000,0.000000,0.0000
8,-0.1343,-0.1516,1.2222,-7.7634,-1.2977,-0.6718,100100.00,28.26,102.49,0.000000,0.000000,0.0000
9,-0.1304,-0.1589,1.2312,-7.6031,-1.0840,-0.6489,100107.00,28.26,101.90,0.000000,0.000000,0.0000
10,-0.1294,-0.1616,1.2292,-7.6031,-1.0992,-0.5115,100110.00,28.27,101.65,0.000000,0.000000,0.0000
11,-0.1343,-0.1609,1.2285,-7.7634,-1.2366,-0.6870,100101.00,28.27,102.41,0.000000,0.000000,0.0000
12,-0.1323,-0.1638,1.2249,-7.6183,-1.1298,-0.5573,100101.00,28.27,102.41,0.000000,0.000000,0.0000
13,-0.1323,-0.1604,1.2266,-7.5954,-1.3817,-0.5954,100103.00,28.27,102.24,0.000000,0.000000,0.0000
14,-0.1350,-0.1553,1.2168,-7.6489,-0.9389,-0.6183,100106.00,28.28,101.99,0.000000,0.000000,0.0000
15,-0.1333,-0.1577,1.2202,-7.6565,-1.1832,-0.6183,100102.00,28.27,102.32,0.000000,0.000000,0.0000
16,-0.1316,-0.1638,1.2246,-7.6718,-1.1603,-0.5878,100106.00,28.28,101.99,0.000000,0.000000,0.0000
17,-0.1316,-0.1584,1.2312,-7.8092,-1.1832,-0.3511,100104.00,28.28,102.16,0.000000,0.000000,0.0000
18,-0.1313,-0.1550,1.2190,-7.5573,-1.0611,-0.6565,100100.00,28.28,102.49,0.000000,0.000000,0.0000
19,-0.1292,-0.1626,1.2183,-7.5344,-1.2672,-0.6260,100103.00,28.28,102.24,0.000000,0.000000,0.0000
20,-0.1318,-0.1602,1.2280,-7.6794,-1.1679,-0.7176,100103.00,28.28,102.24,0.000000,0.000000,0.0000
21,-0.1399,-0.1545,1.2273,-7.7023,-1.1985,-0.7557,100107.00,28.29,101.90,0.000000,0.000000,0.0000
22,-0.1328,-0.1553,1.2261,-7.6031,-1.3435,-0.6183,100104.00,28.29,102.16,0.000000,0.000000,0.0000
23,-0.1335,-0.1597,1.2322,-7.7176,-1.1221,-0.5878,100101.00,28.29,102.41,0.000000,0.000000,0.0000
24,-0.1277,-0.1572,1.2222,-7.6412,-1.3359,-0.4733,100101.00,28.29,102.41,0.000000,0.000000,0.0000
25,-0.1306,-0.1589,1.2227,-7.6489,-1.2977,-0.5954,100108.00,28.29,101.82,0.000000,0.000000,0.0000
26,-0.1367,-0.1606,1.2224,-7.5038,-1.2672,-0.5573,100111.00,28.29,101.57,0.000000,0.000000,0.0000
27,-0.1328,-0.1592,1.2166,-7.8473,-1.7252,-0.7176,100107.00,28.29,101.90,0.000000,0.000000,0.0000
28,-0.1199,-0.1514,1.2241,-7.6336,-1.2901,-0.5038,100108.00,28.30,101.82,0.000000,0.000000,0.0000
29,-0.1362,-0.1514,1.2261,-7.7099,-1.0840,-0.6183,100110.00,28.29,101.65,0.000000,0.000000,0.0000
30,-0.1338,-0.1560,1.2273,-7.6565,-1.2824,-0.5878,100111.00,28.29,101.57,0.000000,0.000000,0.0000
31,-0.1355,-0.1575,1.2256,-7.7023,-1.0076,-0.6718,100107.00,28.30,101.90,0.000000,0.000000,0.0000
32,-0.1389,-0.1636,1.2234,-7.7863,-1.2290,-0.6412,100107.00,28.30,101.90,0.000000,0.000000,0.0000
33,-0.1355,-0.1680,1.2205,-7.7176,-0.9924,-0.6107,100104.00,28.30,102.16,0.000000,0.000000,0.0000
34,-0.1353,-0.1567,1.2314,-7.6565,-1.3359,-0.6565,100114.00,28.30,101.32,0.000000,0.000000,0.0000
35,-0.1370,-0.1621,1.2339,-7.7176,-1.0763,-0.7176,100111.00,28.30,101.57,0.000000,0.000000,0.0000
36,-0.1294,-0.1626,1.2251,-7.7252,-0.9466,-0.6947,100106.00,28.30,101.99,0.000000,0.000000,0.0000
37,-0.1318,-0.1558,1.2234,-7.5267,-1.1069,-0.6489,100110.00,28.30,101.65,0.000000,0.000000,0.0000
38,-0.1323,-0.1594,1.2273,-7.6947,-1.1374,-0.6641,100111.00,28.31,101.57,0.000000,0.000000,0.0000
39,-0.1328,-0.1560,1.2200,-7.6947,-1.3511,-0.6031,100112.00,28.30,101.48,0.000000,0.000000,0.0000
40,-0.1360,-0.1555,1.2310,-7.6947,-1.3893,-0.6183,100107.00,28.30,101.90,0.000000,0.000000,0.0000
41,-0.1321,-0.1436,1.2239,-7.9771,-1.1450,-0.5420,100107.00,28.31,101.90,0.000000,0.000000,0.0000
42,-0.1331,-0.1550,1.2188,-7.6107,-1.5191,-0.6565,100109.00,28.30,101.74,0.000000,0.000000,0.0000
43,-0.1416,-0.1628,1.2197,-7.5573,-1.3130,-0.6870,100110.00,28.31,101.65,0.000000,0.000000,0.0000
44,-0.1394,-0.1604,1.2258,-7.5573,-1.3130,-0.6718,100100.00,28.30,102.49,0.000000,0.000000,0.0000
45,-0.1362,-0.1616,1.2219,-7.7252,-1.4122,-0.6107,100107.00,28.30,101.90,0.000000,0.000000,0.0000
46,-0.1296,-0.1379,1.2351,-7.1985,-4.1832,-0.4962,100106.00,28.31,101.99,0.000000,0.000000,0.0000
47,-0.1331,-0.1465,1.2129,-8.1450,-1.2137,-0.9160,100103.00,28.30,102.24,0.000000,0.000000,0.0000
48,-0.1343,-0.1553,1.2271,-7.4504,-0.7634,-0.3740,100104.00,28.31,102.16,0.000000,0.000000,0.0000
49,-0.1221,-0.1602,1.2280,-7.6489,-0.9771,-0.5038,100105.00,28.30,102.07,0.000000,0.000000,0.0000
50,-0.1201,-0.1638,1.2188,-7.7405,-1.5802,-0.3893,100107.00,28.31,101.90,0.000000,0.000000,0.0000
51,-0.1323,-0.1575,1.2332,-7.5725,-1.7405,-0.6107,100102.00,28.30,102.32,0.000000,0.000000,0.0000
52,-0.1338,-0.1543,1.2261,-7.1832,-1.0840,-0.5420,100108.00,28.31,101.82,0.000000,0.000000,0.0000
53,-0.1328,-0.1436,1.2190,-7.6336,-1.3511,-0.5649,100104.00,28.31,102.16,0.000000,0.000000,0.0000
54,-0.1304,-0.1545,1.2236,-7.7405,-1.2901,-0.5115,100107.00,28.31,101.90,0.000000,0.000000,0.0000
55,-0.1311,-0.1570,1.2380,-7.8321,-0.2137,-0.5420,100106.00,28.30,101.99,0.000000,0.000000,0.0000
56,-0.1240,-0.1702,1.2234,-7.4351,-1.3359,-0.4809,100107.00,28.31,101.90,0.000000,0.000000,0.0000
57,-0.1257,-0.1567,1.2322,-7.7405,-0.6336,-0.6641,100104.00,28.30,102.16,0.000000,0.000000,0.0000
58,-0.1274,-0.1641,1.2268,-7.6336,-1.7481,-0.6412,100108.00,28.30,101.82,0.000000,0.000000,0.0000
59,-0.1301,-0.1592,1.2234,-7.4427,-1.0000,-0.3511,100109.00,28.31,101.74,0.000000,0.000000,0.0000
60,-0.1248,-0.1594,1.2346,-7.9466,-2.1985,-0.7786,100105.00,28.30,102.07,0.000000,0.000000,0.0000
61,-0.1140,-0.1567,1.2241,-7.9618,0.4427,-0.7939,100109.00,28.30,101.74,0.000000,0.000000,0.0000
62,-0.1255,-0.1611,1.2200,-7.8397,0.4351,-0.5344,100108.00,28.30,101.82,0.000000,0.000000,0.0000
63,-0.1248,-0.1577,1.2249,-7.4122,-1.2977,-0.5649,100105.00,28.31,102.07,0.000000,0.000000,0.0000
64,-0.1316,-0.1616,1.2214,-7.7786,-1.5954,-0.5573,100107.00,28.31,101.90,0.000000,0.000000,0.0000
65,-0.1223,-0.1519,1.2383,-7.5878,-1.1756,-0.6870,100109.00,28.31,101.74,0.000000,0.000000,0.0000
66,-0.1235,-0.1580,1.2273,-7.5267,-1.2061,-0.5573,100108.00,28.31,101.82,0.000000,0.000000,0.0000
67,-0.1355,-0.1519,1.2244,-7.5191,-0.9542,-0.4427,100109.00,28.31,101.74,0.000000,0.000000,0.0000
68,-0.1313,-0.1562,1.2249,-7.6718,-0.9389,-0.3435,100103.00,28.31,102.24,0.000000,0.000000,0.0000
69,-0.1282,-0.1477,1.2078,-8.2824,4.3817,-0.9160,100109.00,28.31,101.74,0.000000,0.000000,0.0000
70,-0.1260,-0.1504,1.2153,-7.4122,-0.4656,0.0229,100107.00,28.31,101.90,0.000000,0.000000,0.0000
71,-0.1233,-0.1653,1.2158,-4.0382,-7.7557,6.7634,100108.00,28.32,101.82,0.000000,0.000000,0.0000
72,-0.1265,-0.1533,1.2083,5.1450,-2.0076,7.5725,100107.00,28.31,101.90,0.000000,0.000000,0.0000
73,-0.1013,-0.0945,1.1853,0.4351,28.0153,12.2672,100106.00,28.31,101.99,0.000000,0.000000,0.0000
74,-0.2290,-0.1279,1.2051,0.7328,27.3130,26.5191,100102.00,28.32,102.32,0.000000,0.000000,0.0000
75,-0.2043,-0.0862,1.2124,-2.3893,22.2519,17.3511,100103.00,28.32,102.24,0.000000,0.000000,0.0000
76,-0.1758,-0.0625,1.1899,3.7710,4.3359,-1.3359,100104.00,28.31,102.16,0.000000,0.000000,0.0000
77,-0.2791,-0.0623,1.1985,-1.3893,2.8168,0.4580,100107.00,28.32,101.90,0.000000,0.000000,0.0000
78,-0.2808,-0.0405,1.1912,0.7863,4.5573,1.1145,100103.00,28.31,102.24,0.000000,0.000000,0.0000
79,-0.2976,-0.0359,1.1917,1.3664,4.9237,2.8855,100107.00,28.32,101.90,0.000000,0.000000,0.0000
80,-0.3035,-0.0171,1.1824,-1.9618,3.3817,3.2901,100110.00,28.32,101.65,0.000000,0.000000,0.0000
81,-0.3049,-0.0090,1.1934,-2.1145,1.5038,1.8855,100106.00,28.32,101.99,0.000000,0.000000,0.0000
82,-0.3196,-0.0010,1.1904,-2.6489,3.8244,-0.3511,100104.00,28.31,102.16,0.000000,0.000000,0.0000
83,-0.3276,0.0239,1.1790,-3.3588,-0.2595,-0.5802,100103.00,28.32,102.24,0.000000,0.000000,0.0000
84,-0.3220,0.0146,1.1885,-5.0763,0.0534,-0.1679,100104.00,28.32,102.16,0.000000,0.000000,0.0000
85,-0.3081,0.0210,1.1814,-2.9618,1.4809,1.3053,100103.00,28.32,102.24,0.000000,0.000000,0.0000
86,-0.3303,0.0369,1.1780,0.4427,2.7786,2.5725,100100.00,28.32,102.49,0.000000,0.000000,0.0000
87,-0.3359,0.0515,1.1792,1.1374,3.3435,2.2214,100104.00,28.32,102.16,0.000000,0.000000,0.0000
88,-0.3413,0.0698,1.1736,-2.3053,1.3588,1.2595,100108.00,28.32,101.82,0.000000,0.000000,0.0000
